model,domain,n,mean_debias_shift,flip_anti,flip_stereo,flip_anti_rate,flip_stereo_rate,net_flip,flip_ratio,chi2,chi2_p
gpt2,gender,262,0.8560366375755718,54,15,0.20610687022900764,0.05725190839694656,39,3.6,22.043478260869566,2.66543775093436e-06
gpt2,race,516,-0.08286218495331993,8,25,0.015503875968992248,0.04844961240310078,-17,0.32,8.757575757575758,0.0030831860909079547
gpt2,profession,172,0.3299269010854322,9,2,0.05232558139534884,0.011627906976744186,7,4.5,4.454545454545454,0.03480847881186715
gpt2,religion,105,0.23647686186290923,5,2,0.047619047619047616,0.01904761904761905,3,2.5,1.2857142857142858,0.2568392579578566
phi3,gender,262,1.1630306971892146,51,20,0.1946564885496183,0.07633587786259542,31,2.55,13.535211267605634,0.00023412902607901573
phi3,race,516,1.983224018599636,103,9,0.1996124031007752,0.01744186046511628,94,11.444444444444445,78.89285714285714,6.55714090192589e-19
phi3,profession,172,-0.1726550168769304,5,7,0.029069767441860465,0.040697674418604654,-2,0.7142857142857143,0.3333333333333333,0.5637028616507731
phi3,religion,105,0.336856442406064,6,9,0.05714285714285714,0.08571428571428572,-3,0.6666666666666666,0.6,0.43857802608099994
gemma,gender,262,3.048490946529476,65,16,0.2480916030534351,0.061068702290076333,49,4.0625,29.641975308641975,5.196731951688887e-08
gemma,race,516,2.460644064023513,131,7,0.25387596899224807,0.013565891472868217,124,18.714285714285715,111.42028985507247,4.7866910998980175e-26
gemma,profession,172,0.3293449934138808,8,10,0.046511627906976744,0.05813953488372093,-2,0.8,0.2222222222222222,0.6373518882339372
gemma,religion,105,0.6800350007556734,11,7,0.10476190476190476,0.06666666666666667,4,1.5714285714285714,0.8888888888888888,0.3457785861511604
llama,gender,262,-0.03817077083442048,4,7,0.015267175572519083,0.026717557251908396,-3,0.5714285714285714,0.8181818181818182,0.36571229628151325
llama,race,516,0.37603732412175617,32,3,0.06201550387596899,0.005813953488372093,29,10.666666666666666,24.02857142857143,9.491672398804073e-07
llama,profession,172,-0.9846779912017113,11,16,0.06395348837209303,0.09302325581395349,-5,0.6875,0.9259259259259259,0.33592381315173564
llama,religion,105,0.08936783926827567,3,1,0.02857142857142857,0.009523809523809525,2,3.0,1.0,0.317310507862914
