model,condition,domain,n_seeds,seed0,mean,std,min,max
gemma,baseline,gender,4,51.14503816793893,51.14503816793893,0.0,51.14503816793893,51.14503816793893
gemma,baseline,race,4,56.007751937984494,56.007751937984494,0.0,56.007751937984494,56.007751937984494
gemma,baseline,profession,4,63.95348837209303,63.95348837209303,0.0,63.95348837209303,63.95348837209303
gemma,baseline,religion,4,63.80952380952381,63.80952380952381,0.0,63.80952380952381,63.80952380952381
gemma,baseline,overall,4,56.872037914691944,56.872037914691944,0.0,56.872037914691944,56.872037914691944
gemma,routed_calib,gender,4,32.44274809160305,32.44274809160305,0.0,32.44274809160305,32.44274809160305
gemma,routed_calib,race,4,31.976744186046513,31.976744186046513,0.0,31.976744186046513,31.976744186046513
gemma,routed_calib,profession,4,65.11627906976744,62.354651162790695,1.8613733248351325,61.04651162790697,65.11627906976744
gemma,routed_calib,religion,4,60.0,60.0,0.0,60.0,60.0
gemma,routed_calib,overall,4,40.28436018957346,39.834123222748815,0.3034656036698048,39.62085308056872,40.28436018957346
phi3,baseline,gender,4,57.63358778625954,57.63358778625954,0.0,57.63358778625954,57.63358778625954
phi3,baseline,race,4,52.51937984496124,52.51937984496124,0.0,52.51937984496124,52.51937984496124
phi3,baseline,profession,4,57.55813953488372,57.55813953488372,0.0,57.55813953488372,57.55813953488372
phi3,baseline,religion,4,59.04761904761905,59.04761904761905,0.0,59.04761904761905,59.04761904761905
phi3,baseline,overall,4,55.26066350710901,55.26066350710901,0.0,55.26066350710901,55.26066350710901
phi3,routed_calib,gender,4,45.80152671755725,50.66793893129771,3.2442748091603058,45.80152671755725,52.29007633587786
phi3,routed_calib,race,4,34.30232558139535,34.30232558139535,0.0,34.30232558139535,34.30232558139535
phi3,routed_calib,profession,4,58.72093023255814,58.72093023255814,0.0,58.72093023255814,58.72093023255814
phi3,routed_calib,religion,4,61.904761904761905,61.904761904761905,0.0,61.904761904761905,61.904761904761905
phi3,routed_calib,overall,4,43.88625592417062,45.09478672985782,0.8056872037914679,43.88625592417062,45.497630331753555
