domain,multiplier,alpha,ss,n,dist50
gender,0.0,0.0,54.19847328244275,262,4.198473282442748
gender,0.25,1.0138439903845735,54.58015267175573,262,4.580152671755727
gender,0.5,2.027687980769147,54.961832061068705,262,4.961832061068705
gender,0.75,3.0415319711537205,54.961832061068705,262,4.961832061068705
gender,1.0,4.055375961538294,55.343511450381676,262,5.343511450381676
gender,1.25,5.069219951922868,55.725190839694655,262,5.725190839694655
gender,1.5,6.083063942307441,55.343511450381676,262,5.343511450381676
race,0.0,0.0,50.968992248062015,516,0.9689922480620154
race,0.25,0.8899351703892507,49.8062015503876,516,0.19379844961240167
race,0.5,1.7798703407785015,48.25581395348837,516,1.7441860465116292
race,0.75,2.6698055111677523,47.286821705426355,516,2.7131782945736447
race,1.0,3.559740681557003,45.348837209302324,516,4.651162790697676
race,1.25,4.449675851946254,44.57364341085271,516,5.426356589147289
race,1.5,5.339611022335505,42.82945736434109,516,7.1705426356589115
